p,n,total_time,comp_time,comm_time,overhead,cost
2,4,0.0012,0.0003,0.0002,0.0008,886
2,4,0.0003,0.0001,0.0001,0.0000,1061
2,4,0.0003,0.0001,0.0001,0.0000,1088
2,4,0.0003,0.0001,0.0001,0.0000,1102
2,4,0.0003,0.0001,0.0001,0.0000,1153
2,4,0.0003,0.0001,0.0001,0.0000,840
2,4,0.0003,0.0001,0.0001,0.0000,770
2,4,0.0003,0.0001,0.0001,0.0000,961
2,4,0.0003,0.0001,0.0001,0.0000,807
2,4,0.0003,0.0001,0.0001,0.0000,1194
2,4,0.0003,0.0001,0.0001,0.0000,1630
2,4,0.0003,0.0001,0.0001,0.0000,691
2,4,0.0003,0.0001,0.0001,0.0000,916
2,4,0.0003,0.0001,0.0001,0.0000,1549
2,4,0.0003,0.0001,0.0001,0.0000,1108
2,4,0.0003,0.0002,0.0001,0.0000,505
2,4,0.0003,0.0001,0.0001,0.0000,757
2,4,0.0003,0.0001,0.0001,0.0000,1015
2,4,0.0003,0.0001,0.0001,0.0000,978
2,4,0.0003,0.0001,0.0001,0.0000,1259
2,4,0.0003,0.0001,0.0001,0.0000,536
2,4,0.0003,0.0001,0.0001,0.0000,654
2,4,0.0003,0.0001,0.0001,0.0000,1113
2,4,0.0003,0.0001,0.0001,0.0000,743
2,4,0.0003,0.0001,0.0001,0.0000,538
2,4,0.0003,0.0001,0.0001,0.0000,1017
2,4,0.0003,0.0001,0.0001,0.0000,889
2,4,0.0003,0.0001,0.0002,0.0000,1276
2,4,0.0003,0.0001,0.0001,0.0000,497
2,4,0.0003,0.0001,0.0001,0.0000,1401
4,4,0.0005,0.0002,0.0003,0.0000,782
4,4,0.0005,0.0002,0.0003,0.0000,1208
4,4,0.0009,0.0002,0.0007,0.0001,1012
4,4,0.0005,0.0002,0.0003,0.0000,1284
4,4,0.0005,0.0002,0.0003,0.0000,932
4,4,0.0009,0.0002,0.0007,0.0001,1452
4,4,0.0005,0.0002,0.0003,0.0001,866
4,4,0.0005,0.0002,0.0003,0.0000,990
4,4,0.0005,0.0002,0.0003,0.0000,1757
4,4,0.0005,0.0002,0.0003,0.0000,1070
4,4,0.0005,0.0002,0.0003,0.0000,1096
4,4,0.0009,0.0002,0.0007,0.0001,1113
4,4,0.0005,0.0002,0.0003,0.0000,1009
4,4,0.0005,0.0002,0.0003,0.0000,1842
4,4,0.0005,0.0002,0.0003,0.0001,1648
4,4,0.0009,0.0002,0.0007,0.0000,624
